Station,StationName,Date,TMax,TMin
GHCND:USC00190120,AMHERST MA US,19880219,47,11
GHCND:USC00190120,AMHERST MA US,19880220,50,35
GHCND:USC00190120,AMHERST MA US,19880221,50,18
GHCND:USC00190120,AMHERST MA US,19880222,38,4
GHCND:USC00190120,AMHERST MA US,19880223,46,36
GHCND:USC00190120,AMHERST MA US,19880224,41,20
GHCND:USC00190120,AMHERST MA US,19880225,35,10
GHCND:USC00190120,AMHERST MA US,19880226,37,7
GHCND:USC00190120,AMHERST MA US,19880227,36,14
GHCND:USC00190120,AMHERST MA US,19880228,39,13
GHCND:USC00190120,AMHERST MA US,19880229,41,10
GHCND:USC00190120,AMHERST MA US,19880301,41,18
GHCND:USC00190120,AMHERST MA US,19880302,48,8
GHCND:USC00190120,AMHERST MA US,19880303,47,8
GHCND:USC00190120,AMHERST MA US,19880304,44,29
GHCND:USC00190120,AMHERST MA US,19880305,37,12
GHCND:USC00190120,AMHERST MA US,19880306,44,7
GHCND:USC00190120,AMHERST MA US,19880307,52,21
GHCND:USC00190120,AMHERST MA US,19880308,50,20
GHCND:USC00190120,AMHERST MA US,19880309,49,22
GHCND:USC00190120,AMHERST MA US,19880310,51,35
GHCND:USC00190120,AMHERST MA US,19880311,43,26
GHCND:USC00190120,AMHERST MA US,19880312,52,22
GHCND:USC00190120,AMHERST MA US,19880313,53,31
GHCND:USC00190120,AMHERST MA US,19880314,52,35
GHCND:USC00190120,AMHERST MA US,19880315,43,28
GHCND:USC00190120,AMHERST MA US,19880316,43,22
GHCND:USC00190120,AMHERST MA US,19880317,47,27
GHCND:USC00190120,AMHERST MA US,19880318,48,20
GHCND:USC00190120,AMHERST MA US,19880319,43,23
GHCND:USC00190120,AMHERST MA US,19880320,44,24
GHCND:USC00190120,AMHERST MA US,19880321,35,10
GHCND:USC00190120,AMHERST MA US,19880322,38,11
GHCND:USC00190120,AMHERST MA US,19880323,47,11
GHCND:USC00190120,AMHERST MA US,19880324,71,35
GHCND:USC00190120,AMHERST MA US,19880325,71,42
GHCND:USC00190120,AMHERST MA US,19880326,57,42
GHCND:USC00190120,AMHERST MA US,19880327,54,43
GHCND:USC00190120,AMHERST MA US,19880328,47,29
GHCND:USC00190120,AMHERST MA US,19880329,58,24
GHCND:USC00190120,AMHERST MA US,19880330,62,28
GHCND:USC00190120,AMHERST MA US,19880331,63,25
GHCND:USC00190120,AMHERST MA US,19880401,63,29
GHCND:USC00190120,AMHERST MA US,19880402,57,38
GHCND:USC00190120,AMHERST MA US,19880403,55,43
GHCND:USC00190120,AMHERST MA US,19880404,59,47
GHCND:USC00190120,AMHERST MA US,19880405,63,48
GHCND:USC00190120,AMHERST MA US,19880406,64,43
GHCND:USC00190120,AMHERST MA US,19880407,53,39
GHCND:USC00190120,AMHERST MA US,19880408,49,43
GHCND:USC00190120,AMHERST MA US,19880409,60,45
GHCND:USC00190120,AMHERST MA US,19880410,61,41
GHCND:USC00190120,AMHERST MA US,19880411,61,37
GHCND:USC00190120,AMHERST MA US,19880412,53,41
GHCND:USC00190120,AMHERST MA US,19880413,55,22
GHCND:USC00190120,AMHERST MA US,19880414,55,28
GHCND:USC00190120,AMHERST MA US,19880415,56,34
GHCND:USC00190120,AMHERST MA US,19880416,45,36
GHCND:USC00190120,AMHERST MA US,19880417,53,37
GHCND:USC00190120,AMHERST MA US,19880418,62,44
GHCND:USC00190120,AMHERST MA US,19880419,54,24
GHCND:USC00190120,AMHERST MA US,19880420,50,27
GHCND:USC00190120,AMHERST MA US,19880421,53,26
GHCND:USC00190120,AMHERST MA US,19880422,55,28
GHCND:USC00190120,AMHERST MA US,19880423,55,25
GHCND:USC00190120,AMHERST MA US,19880424,51,39
GHCND:USC00190120,AMHERST MA US,19880425,55,40
GHCND:USC00190120,AMHERST MA US,19880426,65,25
GHCND:USC00190120,AMHERST MA US,19880427,68,34
GHCND:USC00190120,AMHERST MA US,19880428,68,50
GHCND:USC00190120,AMHERST MA US,19880429,57,38
GHCND:USC00190120,AMHERST MA US,19880430,57,36
GHCND:USC00190120,AMHERST MA US,19880501,57,36
GHCND:USC00190120,AMHERST MA US,19880502,57,45
GHCND:USC00190120,AMHERST MA US,19880503,59,36
GHCND:USC00190120,AMHERST MA US,19880504,74,35
GHCND:USC00190120,AMHERST MA US,19880505,72,29
GHCND:USC00190120,AMHERST MA US,19880506,66,55
GHCND:USC00190120,AMHERST MA US,19880507,70,50
GHCND:USC00190120,AMHERST MA US,19880508,72,35
GHCND:USC00190120,AMHERST MA US,19880509,73,34
GHCND:USC00190120,AMHERST MA US,19880510,71,46
GHCND:USC00190120,AMHERST MA US,19880511,58,51
GHCND:USC00190120,AMHERST MA US,19880512,69,37
GHCND:USC00190120,AMHERST MA US,19880513,78,41
GHCND:USC00190120,AMHERST MA US,19880514,77,44
GHCND:USC00190120,AMHERST MA US,19880515,72,39
GHCND:USC00190120,AMHERST MA US,19880516,75,40
GHCND:USC00190120,AMHERST MA US,19880517,75,55
GHCND:USC00190120,AMHERST MA US,19880518,74,51
GHCND:USC00190120,AMHERST MA US,19880519,63,54
GHCND:USC00190120,AMHERST MA US,19880520,64,53
GHCND:USC00190120,AMHERST MA US,19880521,69,54
GHCND:USC00190120,AMHERST MA US,19880522,73,61
GHCND:USC00190120,AMHERST MA US,19880523,83,54
GHCND:USC00190120,AMHERST MA US,19880524,85,63
GHCND:USC00190120,AMHERST MA US,19880525,71,49
GHCND:USC00190120,AMHERST MA US,19880526,63,36
GHCND:USC00190120,AMHERST MA US,19880527,81,43
GHCND:USC00190120,AMHERST MA US,19880528,84,45
GHCND:USC00190120,AMHERST MA US,19880529,85,44
GHCND:USC00190120,AMHERST MA US,19880530,86,55
GHCND:USC00190120,AMHERST MA US,19880531,83,37
GHCND:USC00190120,AMHERST MA US,19880601,84,51
GHCND:USC00190120,AMHERST MA US,19880602,64,42
GHCND:USC00190120,AMHERST MA US,19880603,63,45
GHCND:USC00190120,AMHERST MA US,19880604,77,48
GHCND:USC00190120,AMHERST MA US,19880605,75,44
GHCND:USC00190120,AMHERST MA US,19880606,80,35
GHCND:USC00190120,AMHERST MA US,19880607,78,46
GHCND:USC00190120,AMHERST MA US,19880608,75,37
GHCND:USC00190120,AMHERST MA US,19880609,73,51
GHCND:USC00190120,AMHERST MA US,19880610,69,39
GHCND:USC00190120,AMHERST MA US,19880611,75,39
GHCND:USC00190120,AMHERST MA US,19880612,88,45
GHCND:USC00190120,AMHERST MA US,19880613,93,56
GHCND:USC00190120,AMHERST MA US,19880614,94,52
GHCND:USC00190120,AMHERST MA US,19880615,96,58
GHCND:USC00190120,AMHERST MA US,19880616,96,65
GHCND:USC00190120,AMHERST MA US,19880617,91,61
GHCND:USC00190120,AMHERST MA US,19880618,80,57
GHCND:USC00190120,AMHERST MA US,19880619,84,57
GHCND:USC00190120,AMHERST MA US,19880620,88,56
GHCND:USC00190120,AMHERST MA US,19880621,91,65
GHCND:USC00190120,AMHERST MA US,19880622,92,56
GHCND:USC00190120,AMHERST MA US,19880623,90,65
GHCND:USC00190120,AMHERST MA US,19880624,78,42
GHCND:USC00190120,AMHERST MA US,19880625,73,57
GHCND:USC00190120,AMHERST MA US,19880626,77,61
GHCND:USC00190120,AMHERST MA US,19880627,78,50
GHCND:USC00190120,AMHERST MA US,19880628,82,49
GHCND:USC00190120,AMHERST MA US,19880629,83,56
GHCND:USC00190120,AMHERST MA US,19880630,74,40
GHCND:USC00190120,AMHERST MA US,19880701,67,41
GHCND:USC00190120,AMHERST MA US,19880702,67,53
GHCND:USC00190120,AMHERST MA US,19880703,80,43
GHCND:USC00190120,AMHERST MA US,19880704,87,48
GHCND:USC00190120,AMHERST MA US,19880705,89,55
GHCND:USC00190120,AMHERST MA US,19880706,92,57
GHCND:USC00190120,AMHERST MA US,19880707,94,64
GHCND:USC00190120,AMHERST MA US,19880708,95,64
GHCND:USC00190120,AMHERST MA US,19880709,88,68
GHCND:USC00190120,AMHERST MA US,19880710,95,67
GHCND:USC00190120,AMHERST MA US,19880711,98,66
GHCND:USC00190120,AMHERST MA US,19880712,92,67
GHCND:USC00190120,AMHERST MA US,19880713,88,61
GHCND:USC00190120,AMHERST MA US,19880714,90,58
GHCND:USC00190120,AMHERST MA US,19880715,90,65
GHCND:USC00190120,AMHERST MA US,19880716,89,56
GHCND:USC00190120,AMHERST MA US,19880717,90,70
GHCND:USC00190120,AMHERST MA US,19880718,91,68
GHCND:USC00190120,AMHERST MA US,19880719,90,67
GHCND:USC00190120,AMHERST MA US,19880720,84,70
GHCND:USC00190120,AMHERST MA US,19880721,85,63
GHCND:USC00190120,AMHERST MA US,19880722,76,61
GHCND:USC00190120,AMHERST MA US,19880723,82,62
GHCND:USC00190120,AMHERST MA US,19880724,82,64
GHCND:USC00190120,AMHERST MA US,19880725,84,64
GHCND:USC00190120,AMHERST MA US,19880726,87,59
GHCND:USC00190120,AMHERST MA US,19880727,85,67
GHCND:USC00190120,AMHERST MA US,19880728,86,68
GHCND:USC00190120,AMHERST MA US,19880729,89,61
GHCND:USC00190120,AMHERST MA US,19880730,96,68
GHCND:USC00190120,AMHERST MA US,19880731,95,67
GHCND:USC00190120,AMHERST MA US,19880801,89,66
GHCND:USC00190120,AMHERST MA US,19880802,92,65
GHCND:USC00190120,AMHERST MA US,19880803,93,72
GHCND:USC00190120,AMHERST MA US,19880804,93,71
GHCND:USC00190120,AMHERST MA US,19880805,91,72
GHCND:USC00190120,AMHERST MA US,19880806,91,71
GHCND:USC00190120,AMHERST MA US,19880807,89,71
GHCND:USC00190120,AMHERST MA US,19880808,88,62
GHCND:USC00190120,AMHERST MA US,19880809,88,61
GHCND:USC00190120,AMHERST MA US,19880810,92,68
GHCND:USC00190120,AMHERST MA US,19880811,93,74
GHCND:USC00190120,AMHERST MA US,19880812,93,72
GHCND:USC00190120,AMHERST MA US,19880813,94,65
GHCND:USC00190120,AMHERST MA US,19880814,95,72
GHCND:USC00190120,AMHERST MA US,19880815,95,65
GHCND:USC00190120,AMHERST MA US,19880816,83,68
GHCND:USC00190120,AMHERST MA US,19880817,84,54
GHCND:USC00190120,AMHERST MA US,19880818,79,52
GHCND:USC00190120,AMHERST MA US,19880819,78,46
GHCND:USC00190120,AMHERST MA US,19880820,85,42
GHCND:USC00190120,AMHERST MA US,19880821,86,40
GHCND:USC00190120,AMHERST MA US,19880822,79,38
GHCND:USC00190120,AMHERST MA US,19880823,73,39
GHCND:USC00190120,AMHERST MA US,19880824,72,53
GHCND:USC00190120,AMHERST MA US,19880825,74,53
GHCND:USC00190120,AMHERST MA US,19880826,80,60
GHCND:USC00190120,AMHERST MA US,19880827,84,56
GHCND:USC00190120,AMHERST MA US,19880828,82,69
GHCND:USC00190120,AMHERST MA US,19880829,83,69
GHCND:USC00190120,AMHERST MA US,19880830,73,59
GHCND:USC00190120,AMHERST MA US,19880831,77,49
GHCND:USC00190120,AMHERST MA US,19880901,77,50
GHCND:USC00190120,AMHERST MA US,19880902,80,47
GHCND:USC00190120,AMHERST MA US,19880903,80,52
GHCND:USC00190120,AMHERST MA US,19880904,77,52
GHCND:USC00190120,AMHERST MA US,19880905,77,52
GHCND:USC00190120,AMHERST MA US,19880906,79,40
GHCND:USC00190120,AMHERST MA US,19880907,71,37
GHCND:USC00190120,AMHERST MA US,19880908,73,40
GHCND:USC00190120,AMHERST MA US,19880909,74,48
GHCND:USC00190120,AMHERST MA US,19880910,79,55
GHCND:USC00190120,AMHERST MA US,19880911,79,43
GHCND:USC00190120,AMHERST MA US,19880912,71,39
